English word,Greek words,Synsets
Abandon,"διαμεθιέναι, κενοῦν, χρῆσθαι, προλείπειν, μεθιέναι, καταλείπειν, ἐκδιδόναι, ἐρημοῦν, ἐξίστασθαι, λείπειν, ἀφίστασθαι, ἐκλείπειν, μεθίεσθαι, ἀμείβειν, προιέναι, ἀποστατεῖν, ἀφιέναι, προδιδόναι, ἐκλιμπάνειν, ἀπολείπειν, ἐξαμείβειν, παριέναι",the trait of lacking restraint or control; reckless freedom from inhibition or worry
,,a feeling of extreme emotional intensity
,,"forsake, leave behind"
,,give up with the intent of never claiming again
,,leave behind empty; move out of
,,stop maintaining or insisting on; of ideas or claims
,,leave someone who needs or counts on you; leave in the lurch
Abandoned,"πάντολμος, παντότολμος, κακός, πανώλης, αἰσχρός, ἐξώλης, ἀπονενοημένος, πανώλεθρος, ἐρῆμος, πρόδοτος","forsake, leave behind"
,,give up with the intent of never claiming again
,,leave behind empty; move out of
,,stop maintaining or insisting on; of ideas or claims
,,leave someone who needs or counts on you; leave in the lurch
,,forsaken by owner or inhabitants
,,free from constraint; - Liam O'Flaherty
Abandonment,"προδοσία, ἀπόλειψις",the act of giving something up
,,withdrawing support or help despite allegiance or responsibility
,,the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
Abase,"καταβάλλειν, κολούειν, κλίνειν, ἰσχναίνειν, κάμπτεσθαι, καθαιρεῖν, συστέλλειν, καταρρέπειν, ταπεινοῦν",cause to feel shame; hurt the pride of
Abasement,ταπεινότης,a low or downcast state; - H.L.Menchken
,,depriving one of self-esteem
Abash,"ἐπαισχύνεσθαι, αἰσχύνεσθαι",cause to be embarrassed; cause to feel self-conscious
Abashed,κατηφής,cause to be embarrassed; cause to feel self-conscious
,,feeling or caused to feel uneasy and self-conscious
Abate,"λωφᾶν, ὑφιέναι, ἀνιέναι, μεθιέναι, ἐπανιέναι, ἐξανιέναι, κουφίζειν",make less active or intense
,,become less in amount or intensity
Abatement,"λώφησις, λύσις, ἀπαλλαγή, ἀνακούφισις",an interruption in the intensity or amount of something
,,the act of abating
Abbreviate,"κολούειν, συντέμνειν, συστέλλειν",reduce in scope while retaining essential elements
,,shorten
Abbreviated,σύντομος,reduce in scope while retaining essential elements
,,shorten
,,(of clothing) very short
,,cut short in duration
Abbreviation,συντομία,a shortened form of a word or phrase
,,shortening something by omitting parts of it
Abdicate,ἐξίστασθαι,"give up, such as power, as of monarchs and emperors, or duties and obligations"
Abdomen,ἦτρον,the region of the body of a vertebrate between the thorax and the pelvis
,,the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
Abduction,"ἀγωγή, ἁρπαγή",the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
,,(physiology) moving of a body part away from the central axis of the body
Aberration,"πλάνος, πλάνη, ταραχή",a state or condition markedly different from the norm
,,a disorder in one's mental state
,,an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
Abet,"ὀτρύνειν, ὁρμᾶν, συμπράσσειν, ἐπικελεύειν, συμφυτεύειν, παρακαλεῖν","assist or encourage, usually in some wrongdoing"
Abhor,"ἐχθαίρειν, μισεῖν, ἔχθειν, ἀποπτύειν, στυγεῖν",find repugnant
Abhorrence,"στύγημα, μίσημα, μῖσος, στύγος, ἔχθρα, ἔχθος",hate coupled with disgust
Abhorrent,"στυγητός, μισητός, στυγνός, κατάπτυστος, μιαρός, ἀπόπτυστος",offensive to the mind
Abide,"ὑπομένειν, καταμένειν, ναίειν, περιμένειν, οἰκεῖν, μένειν, ἀμμένειν, παραμένειν, διαμένειν, προσμένειν, ἐμμένειν, ἀναμένειν, ἐπαναμένειν, κατοικεῖν, μίμνειν",dwell
,,put up with something or somebody unpleasant
Abiding,"βέβαιος, ἔμπεδος, χρόνιος, μονίμος, ἀσφαλής",dwell
,,put up with something or somebody unpleasant
,,unceasing
Ability,"φρόνησις, δεινότης, δύναμις, πρός",the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
,,possession of the qualities (especially mental qualities) required to do something or get something done
Abject,"ἔσχατος, ταπεινός",of the most contemptible kind
,,most unfortunate or miserable
,,showing utter resignation or hopelessness
,,showing humiliation or submissiveness
Abjectly,ταπεινῶς,in a hopeless resigned manner
Abjuration,"ἐξωμοσία, ἀπόρρησις",a disavowal or taking back of a previous assertion
Abjure,"ἀπομνύναι, ἐᾶν, ἐξομνύναι","formally reject or disavow a formerly held belief, usually under pressure"
Able,"συνετός, φρόνιμος, σθένειν, σοφός, δεινός, εὐφυής, ἱκανός, ἔχειν, δύνασθαι, δυνατός",(usually followed by `to') having the necessary means or skill or know-how or authority to do something
,,have the skills and qualifications to do things well
,,having inherent physical or mental ability or capacity
,,having a strong healthy body
Ablution,ἀπόλουσις,the ritual washing of a priest's hands or of sacred vessels
Ably,"εὖ, καλῶς, σοφῶς",with competence; in a competent capable manner
Abode,"οἶκος, δόμος, δῶμα, οἰκία, οἴκησις, μέλαθρον, ἕδρα, οἴκημα, ἕδη",any address at which you dwell more than temporarily
,,housing that someone is living in
,,dwell
,,put up with something or somebody unpleasant
Abolish,"καταλύειν, λύειν, ἀναιρεῖν, καθαιρεῖν",do away with
Abolition,κατάλυσις,the act of abolishing a system or practice or institution (especially abolishing slavery)
Abomination,"στύγημα, μίσημα, ἄγος, μύσος, μῖσος, στύγος, μίασμα, ἀπέχθημα, ἔχθος",a person who is loathsome or disgusting
,,hate coupled with disgust
,,an action that is vicious or vile; an action that arouses disgust or abhorrence
Aboriginal,αὐτόχθων,a dark-skinned member of a race of people living in Australia when Europeans arrived
,,an indigenous person who was born in a particular place
,,of or pertaining to members of the indigenous people of Australia
,,characteristic of or relating to people inhabiting a region from the beginning
,,having existed from the beginning; in an earliest or original stage or state
Abortion,"ἀμβλίσκειν, ἄμβλωσις, ἐξαμβλοῦν",termination of pregnancy
,,failure of a plan
Abortive,"ἄπρακτος, ἀκάρπωτος, μάταιος, ἀνήνυτος, ἄκαρπος",failing to accomplish an intended result
Abortively,"ἄλλως, ματαίως, μάτην",in an unfruitful manner
Abound,"φλέων, εὐπορεῖν, ῥεῖν, ἀκμάζειν, πληθύειν, βρύειν, θάλλειν, πλήθειν",be abundant or plentiful; exist in large quantities
,,be in a state of movement or action
About,"ἀμφί, μάλιστα, περί, μέλλειν, σχεδόν, πέριξ, κύκλῳ",on the move
,,(of quantities) imprecise but fairly close to correct
,,all around or on all sides
,,in the area or vicinity
,,used of movement to or among many different places or in no particular direction
,,in or to a reversed position or direction
,,in rotation or succession
,,(of actions or states) slightly short of or not quite accomplished; all but
Above,"πάρος, πρόσθε, πρό, ὑπέρτερος, κρείσσων, περιεῖναι, ἔμπροσθεν, περιγίγνεσθαι, ὑπέρ",an earlier section of a written text
,,appearing earlier in the same text
,,at an earlier place
,,in or to a place that is higher
Abreast,"ἐφεξῆς, ἕπεσθαι, ἑξῆς, συνέπεσθαι",being up to particular standard or level especially in being up to date in knowledge
,,"alongside each other, facing in the same direction"
Abridge,"κολούειν, συντέμνειν, συστέλλειν",reduce in scope while retaining essential elements
,,"lessen, diminish, or curtail"
Abridged,σύντομος,reduce in scope while retaining essential elements
,,"lessen, diminish, or curtail"
,,(used of texts) shortened by condensing or rewriting
Abroad,"θύραθεν, ἐκδημία, ἔξωθεν, ἀποξενοῦσθαι, ἀποδημεῖν, ἔκδημος, θύρασι, θυραῖος, ξενοῦσθαι, ἀποδημία, ἔξω, διέρχεσθαι, θύραζε, ἐκδημεῖν",in a foreign country
,,to or in a foreign country
,,far away from home or one's usual surroundings; - R.A.Hall
,,in a place across an ocean
Abrogate,"καταλύειν, λύειν, ἀναιρεῖν, καθαιρεῖν",revoke formally
Abrogation,κατάλυσις,the act of abrogating; an official or legal cancellation
Abrupt,"βραχύλογος, ἀποτόμος, ἀπόκρημνος, ὑψηλόκρημνος, κρημνώδης, ὀκρίς, ἀπόρρωξ",marked by sudden changes in subject and sharp transitions
,,exceedingly sudden and unexpected
,,extremely steep
,,surprisingly and unceremoniously brusque in manner
Abruptly,"ἐξαίφνης, αἰφνιδίως",quickly and without warning
Abruptness,βραχυλογία,an abrupt discourteous manner
,,the property possessed by a slope that is very steep
,,the quality of happening with headlong haste or without warning
Abscess,φῦμα,symptom consisting of a localized collection of pus surrounded by inflamed tissue
Abscond,"ἀποδιδράσκειν, αὐτομολεῖν, ὑπεξέρχεσθαι",run away; usually includes taking something or somebody along
Absence,"λήθη, ἀποδημία, ἐκδημία, ἀπουσία",the state of being absent
,,failure to be present
,,the time interval during which something or somebody is away
,,"the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
Absent,"ἀποδημεῖν, ἀπών, ἔκδημος, ἀπογίγνεσθαι, θυραῖος, ἀποστατεῖν, ἐκδημεῖν, ἀπεῖναι, ἐπιλήσμων",go away or leave
,,not being in a specified place
,,nonexistent
,,lost in thought; showing preoccupation
Absolute,"παντελής, αὐτοκράτωρ, τυραννικός, ἁπλοῦς, τέλεος, δεσποτικός, ἄκρατος, κύριος, τέλειος, εἰλικρινής",something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
,,perfect or complete or pure
,,complete and without restriction or qualification; sometimes used informally as intensifiers
,,not limited by law
,,expressing finality with no implication of possible change
,,not capable of being violated or infringed
Absolutely,"πάντως, ἁπλῶς, εἰλικρινῶς, ἀρχήν, πάνυ, παντελῶς, τυραννικῶς, ἀτεχνῶς, ὅλως, δεσποτικῶς",completely and without qualification; used informally as intensifiers
,,totally and definitely; without question
Absolution,"λύσις, συγγώμη, σύγγνοια, καθαρμός",the condition of being formally forgiven by a priest in the sacrament of penance
,,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
Absolve,"ἐκλύειν, ἀφιέναι, λύειν, ἀπολύειν",grant remission of a sin to
,,let off the hook
Absorb,"καταναλίσκειν, προσκεῖσθαι, ἀναλίσκειν, ἕλκειν, πίνειν, ἀπαναλίσκειν, καταμιγνύναι",become imbued
,,take up mentally
,,"take up, as of debts or payments"
,,"take in, also metaphorically"
,,cause to become one with
,,suck or take up or in
,,devote (oneself) fully to
,,assimilate or take in
,,consume all of one's attention or time
Abstain,"ἀσιτεῖν, ἀπέχεσθαι, ἀφίστασθαι",refrain from voting
,,choose not to consume
Abstemious,"νήφων, ἄοινος, σώφρων",sparing in consumption of especially food and drink; - John Galsworthy
,,marked by temperance in indulgence
Abstemiously,"σωφρόνως, ἐγκρατῶς",in a sparing manner; without overindulgence
Abstemiousness,"ἐγκράτεια, σωφροσύνη",restricted to bare necessities
,,moderation in eating and drinking
Abstinence,"ἀσιτία, ἐγκράτεια, σωφροσύνη",the trait of abstaining (especially from alcohol)
,,act or practice of refraining from indulging an appetite
Abstinent,"ἐγκρατής, σώφρων",a person who refrains from drinking intoxicating beverages
,,self-restraining; not indulging an appetite especially for food or drink
Abstract,"νοητός, αὐτὸδίκαιον, εἶδος, αὐτὸκαλόν, ἰδέα",a concept or idea not associated with any specific instance
,,a sketchy summary of the main points of an argument or theory
,,consider a concept without thinking of a specific example; consider abstractly or theoretically
,,make off with belongings of others
,,consider apart from a particular case or instance
,,give an abstract (of)
,,existing only in the mind; separated from embodiment
,,not representing or imitating external reality or the objects of nature
,,dealing with a subject in the abstract without practical purpose or intention
Abstraction,"πλάνος, νόησις, κλοπή",a concept or idea not associated with any specific instance
,,the act of withdrawing or removing something
,,the process of formulating general concepts by abstracting common properties of instances
,,an abstract painting
,,preoccupation with something to the exclusion of all else
,,a general concept formed by extracting common features from specific examples
Abstruse,"ἀσαφής, δυσεύρετος, δυστέκμαρτος, ποικίλος, ἄσημος, ἄδηλος",difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
Abstrusely,ποικίλως,in a manner difficult to understand
Abstruseness,ἀσάφεια,the quality of being unclear or abstruse and hard to understand
,,wisdom that is recondite and abstruse and profound
Absurd,"καταγέλαστος, μῶρος, ἄλογος, ἀνόητος, γέλοιος, ἄτοπος, εὐήθης",a situation in which life seems irrational and meaningless; --Albert Camus
,,inconsistent with reason or logic or common sense; - Walter Lippman
,,incongruous;inviting ridicule
Absurdity,"μωρία, ἀτοπία, ἄνοια, εὐήθεια, εὐηθία",a message whose content is at variance with reason
,,a ludicrous folly
Absurdly,"μώρως, καταγελάστως, εὐήθως, ἀτόπως, ἀνοήτως, γελοίως",in an absurd manner or to an absurd degree
Abundance,"βάρος, περιουσία, εὐπορία, ἀφθονία, πλῆθος",the property of a more than adequate quantity or supply
,,(physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
,,(chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million
Abundant,"συχνός, πλούσιος, εὔπορος, ἐπίρρυτος, πολύς, ἄφθονος",present in great quantity
Abundantly,"εὐπόρως, ἀφθόνως, πλουσίως",in an abundant manner
Abuse,"διαβολή, συκοφαντία, ὄνειδος, βασκανία, ἐπήρεια, κακόν, κακηγορία, βλασφημία, ὕβρις, λοιδορία",cruel or inhumane treatment
,,a rude expression intended to offend or hurt
,,improper or excessive use
,,treat badly
,,change the inherent purpose or function of something
,,use foul or abusive language towards
,,use wrongly or improperly or excessively
Abusive,"συκοφαντικός, φιλολοίδορος, κακός, κακόστομος, κακήγορος, βάσκανος, βλάσφημος, διάβολος, λοίδορος",expressing offensive reproach
,,characterized by physical or psychological maltreatment
Abusively,"συκοφαντικῶς, κακῶς, διαβόλως",in an abusive manner
Abut,"ἔχεσθαι, προὔχειν",lie adjacent to another or share a boundary
Abysmal,ἄβυσσος,very great; limitless
,,resembling an abyss in depth; so deep as to be unmeasurable
Abyss,"πέλαγος, βυθός, βάθος, χάρυβδις, χάσμα",a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
Academy,Ἀκαδήμεια,a secondary school (usually private)
,,an institution for the advancement of art or science or literature
,,a school for special training
,,a learned establishment for the advancement of knowledge
Accede,"συγχωρεῖν, προσχωρεῖν, συναινεῖν, καταινεῖν, ἐπαινεῖν",yield to another's wish or opinion
,,take on duties or office
,,to agree or express agreement
Accelerate,ἐπείγειν,move faster
,,cause to move faster
Accent,"τόνος, φωνή, ὀξύτης, ξενίζειν",distinctive manner of oral expression
,,special importance or significance
,,the usage or vocabulary that is characteristic of a specific group of people
,,the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
,,a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
,,"to stress, single out as important"
,,put stress on; utter with an accent
Accentuate,"παροξύνειν, αὐξάνειν","to stress, single out as important"
,,put stress on; utter with an accent
Accept,"ἀγαπᾶν, δέχεσθαι, ἀποδέχεσθαι, ὑποδέχεσθαι, ἐκδέχεσθαι, ἐνδέχεσθαι, προσδέχεσθαι, λαμβάνειν, αἰνεῖν, πείθεσθαι, στέργειν, πιστεύειν",consider or hold as true
,,receive willingly something given or offered
,,give an affirmative reply to; respond favorably to
,,react favorably to; consider right and proper
,,admit into a group or community
,,take on as one's own the expenses or debts of another person
,,tolerate or accommodate oneself to
,,be designed to hold or take
,,"receive (a report) officially, as from a committee"
,,make use of or accept for some purpose
,,"be sexually responsive to, used of a female domesticated mammal"
Acceptable,"θυμηδής, ἀρεστός, ἡδύς, φίλος",worthy of acceptance or satisfactory
,,judged to be in conformity with approved usage
,,meeting requirements
,,adequate for the purpose
Acceptably,ἡδέως,in an acceptable (but not outstanding) manner
Acceptance,"λῆψις, δωροδοκία",the mental attitude that something is believable and should be accepted as true
,,the act of accepting with approval; favorable reception
,,the state of being acceptable and accepted
,,(contract law) words signifying consent to the terms of an offer (thereby creating a contract)
,,banking: a time draft drawn on and accepted by a bank
,,a disposition to tolerate or accept people or situations
,,the act of taking something that is offered
Access,"πρόσβασις, ἔφοδος, καταβολή, πρόσοδος, προσβολή, εἴσοδος",the right to enter
,,the right to obtain or make use of or take advantage of something (as services or membership)
,,a way of entering or leaving
,,a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
,,(computer science) the operation of reading or writing stored information
,,the act of approaching or entering
,,obtain or retrieve from a storage device; as of information on a computer
,,reach or gain access to
Accessible,"προσβατός, εὐπροσήγορος, εὐπρόσοδος, εὔβατος, εὐπρόσοιστος",capable of being reached
,,capable of being read with comprehension
,,easily obtained
,,easy to get along with or talk to; friendly
Accession,"διαδοχή, ἐκδοχή, προσθήκη",a process of increasing by addition (as to a collection or group)
,,(civil law) the right to all of that which your property produces whether by growth or improvement
,,something added to what you already have
,,agreeing with or consenting to (often unwillingly)
,,the right to enter
,,the act of attaining or gaining access to a new office or right or position (especially the throne)
,,"make a record of additions to a collection, such as a library"
Accessory,"πάρεργον, προσθήκη","clothing that is worn or carried, but not part of your main clothing"
,,a supplementary component that improves capability
,,someone who helps another person commit a crime
,,aiding and abetting in a crime
,,furnishing added support
Accident,"τύχη, συμφορά, περίπτωμα, σύμπτωμα",an unfortunate mishap; especially one causing damage or injury
,,anything that happens suddenly or by chance without an apparent cause
Accidental,ἀκούσιος,a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
,,happening by chance or unexpectedly or unintentionally
Accidentally,"ἀκουσίως, τύχῃ",without advance planning
,,of a minor or subordinate nature
,,without intention; in an unintentional manner
Acclaim,"θορυβεῖν, κροτεῖν, ὑμνεῖν, ἐπαινεῖν",enthusiastic approval
,,praise vociferously
,,clap one's hands or shout after performances to indicate approval
Acclamation,"ἔπαινος, θόρυβος, κρότος",enthusiastic approval
Acclimatise,ἐθίζειν,get used to a certain climate
Accommodate,"χαρίζεσθαι, εὐπορεῖν, εἴκειν, συγκαθιέναι, χωρεῖν",be agreeable or acceptable to
,,"make fit for, or change to suit a new purpose"
,,provide with something desired or needed
,,have room for; hold without crowding
,,provide housing for
,,provide a service or favor for someone
,,make (one thing) compatible with (another)
Accommodating,"ῥᾴδιος, εὐχερής",be agreeable or acceptable to
,,"make fit for, or change to suit a new purpose"
,,provide with something desired or needed
,,have room for; hold without crowding
,,provide housing for
,,provide a service or favor for someone
,,make (one thing) compatible with (another)
,,helpful in bringing about a harmonious adaptation
,,obliging; willing to do favors
Accommodation,"ὁμολογία, κατάλυσις",making or becoming suitable; adjusting to circumstances
,,a settlement of differences
,,in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
,,living quarters provided for public convenience
,,the act of providing something (lodging or seat or food) to meet a need
,,(physiology) the automatic adjustment in focal length of the natural lens of the eye
Accompaniment,"ὑπό, μέλος",an event or situation that happens at the same time as or in connection with another
,,a musical part (vocal or instrumental) that supports or provides background for other musical parts
,,something added to complete or embellish or make perfect
,,the act of accompanying someone or something in order to protect them
Accompany,"ὑπᾴδειν, ἕπεσθαι, ὁμιλεῖν, συνεῖναι, συστρατεύειν, ἀκολουθεῖν, συμπορεύεσθαι, μεθέπεσθαι, συνέπεσθαι, συνακολουθεῖν, συγγίγνεσθαι, συμπλεῖν, παρακολουθεῖν, ὁμαρτεῖν",be present or associated with an event or entity
,,go or travel along with
,,perform an accompaniment to
,,be a companion to somebody
Accomplice,"συλλήπτωρ, συνεργάτης, συνεργάτις, κοινωνός, συναίτιος, συνεργός, μέτοχος",a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
Accomplish,"ἐκπράσσειν, ἐκπεραίνειν, ἐργάζεσθαι, περαίνειν, ἐπεξέρχεσθαι, διαπράσσειν, τελεῖν, ἐξανύτειν, ἐπικραίνειν, κατανύτειν, πράσσειν, κατεργάζεσθαι, ἐξεργάζεσθαι, ἐπιτελεῖν, κραίνειν, τελευτᾶν, ἀνύτειν",put in effect
,,to gain with effort
Accomplished,"ἐκτελής, φιλόμουσος, χαρίεις, ἐπιτελής, τέλεος, τελεσφόρος, μουσικός, τέλειος",put in effect
,,to gain with effort
,,highly skilled
,,successfully completed or brought to an end
,,settled securely and unconditionally
Accomplishment,"πρᾶξις, ἄνη, τέχνη, τελευτή, τέλος, πέρας",the action of accomplishing something
,,an ability that has been acquired by training
Accord,"συμφωνεῖν, συνᾴδειν, συμφέρειν, ὁμορροθεῖν",harmony of people's opinions or actions or characters
,,concurrence of opinion
,,a written agreement between two states or sovereigns
,,sympathetic compatibility
,,go together
,,allow to have
Accordant,"ἀκόλουθος, συνήγορος, συνῳδός, προσωδός, σύμφωνος",being in agreement or harmony; often followed by `with'; -Thomas Hardy
,,in keeping
Accordingly,"τοιγαροῦν, οὐκοῦν, τοίνυν, νυν, πράσσειν, τοίγαρ, τοιγάρτοι, οὖν",(sentence connectors) because of the reason given
,,in accordance with
Accost,"αὐδᾶν, προσφθέγγεσθαι, προσεννέπειν, προσαυδᾶν, προσηγορεῖν, προσφωνεῖν, ἐννέπειν, προσειπεῖν, προσαγορεύειν",speak to someone
,,approach with an offer of sexual favors
Account,συνιέναι,a record or narrative description of past events
,,a short account of the news
,,a formal contractual relationship established to provide for regular banking or brokerage or business services
,,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
,,grounds
,,importance or value
,,a statement of recent transactions and the resulting balance
,,the act of informing by verbal report
,,an itemized statement of money owed for goods shipped or services rendered
,,the quality of taking advantage
,,"be the sole or primary factor in the existence, acquisition, supply, or disposal of something"
,,keep an account of
,,to give an account or representation of in words
,,furnish a justifying analysis or explanation
Accountable,"αἴτιος, ὑπεύθυνος, ὑπαίτιος, ἔνοχος, ὑπόλογος",liable to account for one's actions
Accountant,"λογιστής, εὔθυνος",someone who maintains and audits business accounts
Accoutre,"στέλλειν, σκευάζειν, ὁπλίζειν, ἐξοπλίζειν, κατασκευάζειν",provide with military equipment
Accoutrement,"ὅπλισις, στολή, σκευή, σαγή","clothing that is worn or carried, but not part of your main clothing"
Accredited,"πρεσβεύειν, προξενεῖν",grant credentials to
,,provide or send (envoys or embassadors) with official credentials
,,ascribe an achievement to
,,given official approval to act
Accretion,προσθήκη,an increase by natural growth or addition
,,something contributing to growth or increase
,,(astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases
,,(biology) growth by addition as by the adhesion of parts or particles
,,(geology) an increase in land resulting from alluvial deposits or waterborne sediment
,,(law) an increase in a beneficiary's share in an estate (as when a co-beneficiary dies or fails to meet some condition or rejects the inheritance)
Accrue,"προσκεῖσθαι, προσεῖναι, προσγίγνεσθαι",grow by addition
,,come into the possession of
Accumulate,"συλλέγεσθαι, συλλέγειν, ἀθροίζειν, συννεῖν, ἀθροίζεσθαι, νεῖν",get or gather together
,,collect or gather
Accumulation,"πλῆθος, σωρός, θωμός",an increase by natural growth or addition
,,several things grouped together or considered as a whole
,,the act of accumulating
,,(finance) profits that are not paid out as dividends but are added to the capital base of the corporation
Accuracy,"ναμέρτεια, ἀκρίβεια, ἀλήθεια, ὀρθότης",the quality of being near to the true value
,,(mathematics) the number of significant figures given in a number
Accurate,"ἀκριβής, ἀληθής, ἀκριβολογεῖσθαι, ἐξακριβοῦν, ὀρθός",conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
,,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth ; strictly correct"
Accurately,"ὀρθῶς, ἀκριβῶς, ἀκριβοῦν, ἀληθῶς",with few mistakes
,,strictly correctly
